State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Clarke,Non-Hispanic,Asian,0
Mississippi,Clarke,Non-Hispanic,Other,0
Mississippi,Clarke,Non-Hispanic,Unknown,0
Mississippi,Clarke,Hispanic,African-American,0
Mississippi,Clarke,Hispanic,White,0
Mississippi,Clarke,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Clarke,Hispanic,Asian,0
Mississippi,Clarke,Hispanic,Other,0
Mississippi,Clarke,Hispanic,Unknown,0
Mississippi,Clarke,Unknown,African-American,0
Mississippi,Clarke,Unknown,White,0
Mississippi,Clarke,Unknown,American-Indian-Alaska-Native,0
Mississippi,Clarke,Unknown,Asian,0
Mississippi,Clarke,Unknown,Other,0
Mississippi,Clarke,Unknown,Unknown,0
Mississippi,Clay,Total,NA,10
Mississippi,Clay,Non-Hispanic,African-American,9
Mississippi,Clay,Non-Hispanic,White,0
Mississippi,Clay,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Clay,Non-Hispanic,Asian,0
Mississippi,Clay,Non-Hispanic,Other,0
Mississippi,Clay,Non-Hispanic,Unknown,0
Mississippi,Clay,Hispanic,African-American,0
Mississippi,Clay,Hispanic,White,0
Mississippi,Clay,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Clay,Hispanic,Asian,0
Mississippi,Clay,Hispanic,Other,0
Mississippi,Clay,Hispanic,Unknown,0
Mississippi,Clay,Unknown,African-American,0
Mississippi,Clay,Unknown,White,1
Mississippi,Clay,Unknown,American-Indian-Alaska-Native,0
Mississippi,Clay,Unknown,Asian,0
Mississippi,Clay,Unknown,Other,0
Mississippi,Clay,Unknown,Unknown,0
Mississippi,Coahoma,Total,NA,6
Mississippi,Coahoma,Non-Hispanic,African-American,4
Mississippi,Coahoma,Non-Hispanic,White,0
Mississippi,Coahoma,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Coahoma,Non-Hispanic,Asian,0
Mississippi,Coahoma,Non-Hispanic,Other,0
Mississippi,Coahoma,Non-Hispanic,Unknown,0
Mississippi,Coahoma,Hispanic,African-American,0
Mississippi,Coahoma,Hispanic,White,0
Mississippi,Coahoma,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Coahoma,Hispanic,Asian,0
