State,County,Sex,Age_range,NDeath
Ohio,Seneca,Female,80+,1
Ohio,Seneca,Male,50-59,1
Ohio,Shelby,Female,80+,1
Ohio,Shelby,Male,80+,3
Ohio,Stark,Female,50-59,1
Ohio,Stark,Female,60-69,8
Ohio,Stark,Female,70-79,16
Ohio,Stark,Female,80+,34
Ohio,Stark,Male,50-59,5
Ohio,Stark,Male,60-69,7
Ohio,Stark,Male,70-79,16
Ohio,Stark,Male,80+,27
Ohio,Summit,Female,40-49,3
Ohio,Summit,Female,50-59,7
Ohio,Summit,Female,60-69,12
Ohio,Summit,Female,70-79,24
Ohio,Summit,Female,80+,64
Ohio,Summit,Male,30-39,1
Ohio,Summit,Male,40-49,1
Ohio,Summit,Male,50-59,5
Ohio,Summit,Male,60-69,18
Ohio,Summit,Male,70-79,30
Ohio,Summit,Male,80+,44
Ohio,Trumbull,Female,50-59,1
Ohio,Trumbull,Female,60-69,6
Ohio,Trumbull,Female,70-79,11
Ohio,Trumbull,Female,80+,24
Ohio,Trumbull,Male,40-49,1
Ohio,Trumbull,Male,50-59,1
Ohio,Trumbull,Male,60-69,7
Ohio,Trumbull,Male,70-79,12
Ohio,Trumbull,Male,80+,15
Ohio,Tuscarawas,Female,60-69,1
Ohio,Tuscarawas,Female,70-79,2
Ohio,Tuscarawas,Female,80+,4
Ohio,Tuscarawas,Male,40-49,1
Ohio,Tuscarawas,Male,50-59,1
Ohio,Tuscarawas,Male,60-69,1
Ohio,Union,Male,60-69,1
Ohio,Van Wert,Male,70-79,1
Ohio,Vinton,Female,50-59,1
Ohio,Vinton,Female,70-79,1
Ohio,Warren,Female,50-59,1
Ohio,Warren,Female,70-79,2
Ohio,Warren,Female,80+,6
Ohio,Warren,Male,20-29,1
Ohio,Warren,Male,50-59,3
Ohio,Warren,Male,70-79,2
Ohio,Warren,Male,80+,10
Ohio,Washington,Female,40-49,1
Ohio,Washington,Female,60-69,1
Ohio,Washington,Female,80+,6
Ohio,Washington,Male,50-59,1
Ohio,Washington,Male,60-69,3
Ohio,Washington,Male,70-79,7
Ohio,Washington,Male,80+,1
Ohio,Wayne,Female,40-49,1
Ohio,Wayne,Female,60-69,2
Ohio,Wayne,Female,70-79,6
Ohio,Wayne,Female,80+,19
Ohio,Wayne,Male,40-49,1
Ohio,Wayne,Male,50-59,2
Ohio,Wayne,Male,60-69,4
Ohio,Wayne,Male,70-79,10
Ohio,Wayne,Male,80+,8
Ohio,Williams,Female,70-79,1
Ohio,Williams,Male,70-79,1
Ohio,Wood,Female,60-69,1
Ohio,Wood,Female,70-79,6
Ohio,Wood,Female,80+,19
Ohio,Wood,Male,60-69,6
Ohio,Wood,Male,70-79,5
Ohio,Wood,Male,80+,14
Ohio,Wyandot,Female,50-59,1
Ohio,Wyandot,Female,80+,1
Ohio,Wyandot,Male,60-69,1
Ohio,Wyandot,Male,80+,2
